SP Att.        SP Att.F       #Depots        Ref. Att.      Ref. Att.F     #Refineries    CC Att.        CC Att.f       Mins           Gas            IdleSCVs       CCs            Supply         Score          
13             0              12             0              0              0              3              2              1820           0              0              2              36/126         4770           
11             0              11             0              0              0              4              3              2295           0              0              2              36/118         4945           
13             0              12             0              0              0              3              2              1510           0              0              2              30/126         4160           
14             0              12             0              0              0              5              4              1685           0              1              2              34/126         4485           
13             0              12             0              0              0              8              7              1835           0              0              2              36/126         4785           
12             0              12             0              0              0              2              1              1915           0              0              2              36/126         4865           
13             0              11             0              0              0              5              4              2345           0              0              2              34/118         4890           
13             0              12             0              0              0              4              3              1700           0              0              2              39/126         4800           
15             0              12             0              0              0              1              0              1850           0              0              2              36/126         4800           
12             0              11             0              0              0              4              3              2395           0              0              2              33/118         4895           
12             0              12             0              0              0              3              2              1560           0              0              2              33/126         4360           
12             0              12             0              0              0              3              2              1865           0              0              2              37/126         4865           
13             0              12             0              0              0              6              5              1670           0              0              2              36/126         4620           
13             0              11             0              0              0              5              4              2015           0              0              2              33/118         4515           
12             0              12             0              0              0              4              3              1840           0              0              2              36/126         4790           
14             0              12             0              0              0              2              1              1855           0              0              2              36/126         4805           
12             0              12             0              0              0              4              3              1640           0              0              2              34/126         4480           
13             0              12             0              0              0              2              1              1880           0              0              2              36/126         4830           
13             0              12             0              0              0              3              2              1785           0              0              2              36/126         4735           
13             0              12             0              0              0              4              3              1820           0              0              2              37/126         4820           
12             0              11             0              0              0              2              1              2350           0              0              2              34/118         4900           
12             0              12             0              0              0              2              1              1825           0              0              2              36/126         4775           
13             0              12             0              0              0              5              4              1825           0              0              2              36/126         4725           
13             0              12             0              0              0              5              4              1790           0              0              2              36/126         4735           
12             0              12             0              0              0              4              3              1815           0              0              2              37/126         4810           
12             0              12             0              0              0              4              3              1825           0              0              2              36/126         4775           
14             0              12             0              0              0              5              4              1910           0              0              2              36/126         4860           
13             0              12             0              0              0              5              4              1815           0              0              2              36/126         4765           
13             0              12             0              0              0              6              5              1880           0              0              2              35/126         4775           
12             0              12             0              0              0              5              4              2040           0              0              2              35/118         4940           
13             0              12             0              0              0              6              5              1815           0              0              2              37/126         4815           
12             0              12             0              0              0              5              4              1840           0              0              2              37/126         4890           
13             0              12             0              0              0              2              1              1905           0              0              2              36/126         4855           
13             0              12             0              0              0              6              5              1800           0              0              2              35/126         4700           
12             0              12             0              0              0              3              2              1410           0              0              2              29/118         4010           
13             0              12             0              0              0              4              3              1820           0              0              2              36/126         4765           
13             0              12             0              0              0              1              0              1840           0              0              2              35/126         4740           
12             0              12             0              0              0              4              3              1845           0              0              2              37/126         4845           
12             0              12             0              0              0              2              1              1845           0              0              2              36/126         4795           
13             0              12             0              0              0              4              3              1725           0              0              2              37/126         4720           
12             0              12             0              0              0              4              3              1705           0              0              2              37/126         4705           
13             0              12             0              0              0              3              2              1795           0              0              2              36/126         4745           
13             0              12             0              0              0              2              1              1750           0              0              2              37/126         4750           
14             0              11             0              0              0              2              1              2290           0              0              2              34/118         4835           
13             0              12             0              0              0              5              4              1585           0              0              2              36/126         4535           
13             0              12             0              0              0              3              2              1835           0              0              2              35/126         4730           
14             0              12             0              0              0              3              2              1805           0              0              2              36/126         4755           
13             0              12             0              0              0              4              3              1665           0              0              2              37/126         4665           
12             0              12             0              0              0              6              5              1780           0              0              2              36/126         4730           
12             0              12             0              0              0              5              4              1705           0              0              2              37/126         4705           
13             0              12             0              0              0              6              5              1800           0              1              2              36/126         4700           
12             0              11             0              0              0              4              3              2335           0              0              2              33/118         4835           
13             0              12             0              0              0              3              2              1745           0              0              2              35/126         4645           
12             0              11             0              0              0              6              5              2405           0              0              2              33/118         4905           
12             0              12             0              0              0              4              3              1740           0              0              2              36/126         4690           
13             0              12             0              0              0              2              1              1830           0              0              2              36/126         4780           
13             0              12             0              0              0              3              2              1695           0              0              2              33/126         4490           
13             0              12             0              0              0              4              3              1785           0              1              2              36/126         4685           
12             0              12             0              0              0              4              3              1895           0              0              2              37/126         4895           
12             0              12             0              0              0              1              0              1800           0              0              2              35/126         4695           
12             0              12             0              0              0              4              3              1920           0              0              2              36/126         4870           
12             0              12             0              0              0              3              2              1760           0              0              2              35/126         4660           
15             0              12             0              0              0              5              4              1800           0              0              2              37/126         4800           
13             0              12             0              0              0              6              5              1625           0              0              2              34/126         4475           
14             0              12             0              0              0              3              2              1705           0              0              2              38/126         4755           
14             0              12             0              0              0              3              2              1750           0              0              2              37/126         4750           
11             0              11             0              0              0              4              3              2300           0              0              2              30/118         4650           
14             0              12             0              0              0              3              2              1850           0              0              2              36/126         4790           
12             0              12             0              0              0              3              2              1745           0              0              2              36/126         4695           
12             0              12             0              0              0              5              4              1625           0              0              2              37/126         4625           
14             0              12             0              0              0              4              3              1925           0              0              2              36/126         4875           
12             0              12             0              0              0              3              2              1680           0              0              2              37/126         4680           
12             0              12             0              0              0              4              3              1625           0              0              2              33/126         4425           
13             0              12             0              0              0              4              3              1485           0              1              2              34/126         4335           
15             0              12             0              0              0              8              7              1800           0              0              2              36/126         4750           
13             0              12             0              0              0              5              4              1850           0              0              2              37/126         4850           
12             0              12             0              0              0              4              3              1915           0              0              2              34/118         4815           
13             0              12             0              0              0              4              3              1985           0              0              2              34/118         4835           
13             0              12             0              0              0              2              1              1935           0              0              2              36/126         4885           
14             0              12             0              0              0              2              1              1520           0              0              2              30/126         4170           
12             0              11             0              0              0              6              5              2385           0              0              2              33/118         4885           
13             0              12             0              0              0              2              1              1945           0              1              2              36/126         4845           
13             0              12             0              0              0              3              2              1825           0              0              2              36/118         4725           
13             0              12             0              0              0              5              4              1610           0              0              2              38/126         4655           
12             0              11             0              0              0              1              0              2060           0              0              2              38/118         4810           
14             0              12             0              0              0              1              0              1940           0              0              2              36/126         4890           
14             0              12             0              0              0              6              5              1830           0              0              2              37/126         4830           
11             0              11             0              0              0              5              4              2240           0              1              2              35/118         4840           
18             0              12             0              0              0              3              2              1680           0              0              2              38/126         4725           
13             0              12             0              0              0              4              3              2010           0              0              2              36/118         4960           
14             0              12             0              0              0              2              1              1820           0              0              2              36/126         4765           
13             0              12             0              0              0              3              2              1710           0              0              2              36/126         4660           
12             0              12             0              0              0              4              3              1915           0              0              2              34/118         4765           
12             0              12             0              0              0              2              1              1455           0              0              2              28/126         4000           
12             0              11             0              0              0              3              1              2325           0              0              2              35/118         4925           
12             0              12             0              0              0              6              5              1810           0              0              2              36/126         4755           
13             0              12             0              0              0              3              2              1580           0              0              2              33/126         4430           
13             0              12             0              0              0              5              4              1745           0              0              2              37/126         4745           
13             0              12             0              0              0              3              2              1795           0              0              2              37/126         4795           
12             0              11             0              0              0              1              0              2475           0              0              2              32/118         4925           
12             0              12             0              0              0              3              2              1805           0              0              2              36/126         4755           
17             0              12             0              0              0              4              3              1845           0              0              2              35/126         4745           
13             0              12             0              0              0              2              1              1715           0              0              2              36/126         4665           
11             0              11             0              0              0              3              2              2290           0              0              2              32/118         4740           
13             0              12             0              0              0              4              3              1425           0              0              2              32/126         4175           
12             0              12             0              0              0              3              2              1845           0              0              2              37/126         4840           
14             0              12             0              0              0              5              4              1720           0              0              2              37/126         4720           
13             0              12             0              0              0              4              3              1800           0              0              2              32/126         4550           
13             0              12             0              0              0              4              3              2015           0              0              2              35/118         4860           
14             0              12             0              0              0              4              3              1765           0              0              2              36/126         4705           
12             0              12             0              0              0              5              4              1810           0              0              2              36/126         4760           
12             0              12             0              0              0              4              3              1795           0              0              2              37/126         4795           
12             0              12             0              0              0              3              2              1820           0              0              2              36/126         4765           
14             0              12             0              0              0              2              1              1890           0              0              2              38/126         4885           
12             0              12             0              0              0              3              2              1760           0              0              2              37/126         4710           
12             0              12             0              0              0              4              3              1690           0              1              2              38/126         4740           
13             0              12             0              0              0              3              2              1875           0              0              2              37/126         4825           
13             0              12             0              0              0              2              1              1765           0              0              2              37/126         4765           
12             0              12             0              0              0              5              4              1880           0              0              2              35/118         4730           
