SP Att.        SP Att.F       #Depots        Ref. Att.      Ref. Att.F     #Refineries    CC Att.        CC Att.f       Mins           Gas            IdleSCVs       CCs            Supply         Score          
14             0              12             0              0              0              4              3              1130           0              0              2              27/126         3630           
14             0              12             0              0              0              3              2              1110           0              0              2              27/126         3610           
12             0              12             0              0              0              5              4              1225           0              0              2              27/126         3725           
12             0              12             0              0              0              3              2              1095           0              0              2              28/126         3645           
15             0              12             0              0              0              5              4              1540           0              0              2              32/126         4290           
14             0              12             0              0              0              4              3              1340           0              0              2              29/126         3890           
13             0              12             0              0              0              1              0              1255           0              1              2              29/126         3805           
16             0              12             0              0              0              1              0              1440           0              0              2              31/126         4140           
18             0              12             0              0              0              4              3              1075           0              0              2              28/126         3625           
14             0              12             0              0              0              4              3              1140           0              0              2              27/126         3640           
12             0              12             0              0              0              3              2              1315           0              0              2              29/126         3915           
12             0              12             0              0              0              3              2              1160           0              0              2              27/126         3660           
14             0              12             0              0              0              7              6              1140           0              0              2              27/126         3635           
14             0              12             0              0              0              3              2              1160           0              2              2              31/126         3860           
15             0              12             0              0              0              4              3              1205           0              0              2              30/126         3805           
13             0              12             0              0              0              2              1              1145           0              0              2              27/126         3645           
13             0              12             0              0              0              3              2              1470           0              1              2              31/126         4120           
12             0              12             0              0              0              1              0              1150           0              0              2              28/126         3700           
12             0              12             0              0              0              5              4              1135           0              0              2              28/126         3685           
14             0              12             0              0              0              6              5              1200           0              0              2              28/126         3750           
13             0              12             0              0              0              2              1              1090           0              0              2              28/126         3640           
16             0              12             0              0              0              4              3              1375           0              0              2              29/126         3925           
14             0              12             0              0              0              5              4              1120           0              0              2              27/126         3615           
13             0              12             0              0              0              4              3              1165           0              0              2              28/126         3715           
15             0              12             0              0              0              5              4              1020           0              0              2              28/126         3620           
13             0              12             0              0              0              2              1              1185           0              0              2              27/126         3685           
14             0              12             0              0              0              5              4              1215           0              0              2              28/126         3765           
14             0              12             0              0              0              3              2              1070           0              0              2              27/126         3570           
13             0              12             0              0              0              3              2              1170           0              0              2              27/126         3670           
15             0              12             0              0              0              4              3              1105           0              0              2              28/126         3650           
14             0              12             0              0              0              1              0              1055           0              1              2              28/126         3550           
17             0              12             0              0              0              5              4              1150           0              0              2              27/126         3650           
14             0              12             0              0              0              9              8              1055           0              0              2              27/126         3555           
12             0              12             0              0              0              4              3              1190           0              0              2              28/126         3740           
14             0              12             0              0              0              6              5              1100           0              0              2              27/126         3600           
13             0              12             0              0              0              3              2              1205           0              0              2              27/126         3705           
15             0              12             0              0              0              1              0              935            0              0              2              26/126         3380           
15             0              12             0              0              0              6              5              1260           0              0              2              29/126         3850           
17             0              12             0              0              0              6              5              1060           0              0              2              28/126         3610           
13             0              12             0              0              0              4              3              1170           0              0              2              28/126         3720           
12             0              12             0              0              0              4              3              1280           0              0              2              28/126         3830           
15             0              12             0              0              0              7              6              1190           0              1              2              28/126         3690           
14             0              12             0              0              0              4              3              1195           0              0              2              29/126         3795           
15             0              12             0              0              0              5              4              1305           0              0              2              29/126         3905           
16             0              12             0              0              0              4              3              1370           0              0              2              29/126         3970           
15             0              12             0              0              0              2              1              1310           0              1              2              29/126         3860           
12             0              12             0              0              0              5              4              1155           0              0              2              28/126         3655           
12             0              12             0              0              0              5              4              1070           0              0              2              28/126         3620           
16             0              12             0              0              0              3              2              1320           0              0              2              28/126         3870           
14             0              12             0              0              0              5              4              1070           0              0              2              27/126         3570           
15             0              12             0              0              0              4              3              1165           0              0              2              28/126         3715           
15             0              12             0              0              0              2              1              1320           0              0              2              29/126         3915           
15             0              12             0              0              0              5              4              1330           0              1              2              30/126         3925           
15             0              12             0              0              0              5              4              1100           0              0              2              27/126         3595           
18             0              12             0              0              0              4              3              1285           0              0              2              28/126         3835           
13             0              12             0              0              0              3              2              1425           0              0              2              31/126         4120           
13             0              12             0              0              0              2              1              1035           0              0              2              27/126         3535           
14             0              12             0              0              0              4              3              1125           0              0              2              27/126         3625           
13             0              12             0              0              0              4              3              1090           0              0              2              26/126         3540           
16             0              12             0              0              0              3              2              1100           0              0              2              27/126         3595           
13             0              12             0              0              0              2              1              1180           0              0              2              27/126         3680           
12             0              12             0              0              0              3              2              1090           0              0              2              28/126         3630           
14             0              12             0              0              0              4              3              1270           0              0              2              30/126         3920           
